Generation,Exploration Count,Exploitation Count,Total Count
397,14,36,50
398,17,33,50
399,13,37,50
400,9,41,50
401,18,32,50
402,17,33,50
403,21,29,50
404,18,32,50
405,25,25,50
406,19,31,50
407,17,33,50
408,24,26,50
409,19,31,50
410,21,29,50
411,18,32,50
412,16,34,50
413,19,31,50
414,17,33,50
415,18,32,50
416,20,30,50
417,16,34,50
418,17,33,50
419,14,36,50
420,13,37,50
421,22,28,50
422,22,28,50
423,19,31,50
424,16,34,50
425,17,33,50
426,19,31,50
427,16,34,50
428,18,32,50
429,16,34,50
430,17,33,50
431,18,32,50
432,19,31,50
433,21,29,50
434,18,32,50
435,18,32,50
436,17,33,50
437,12,38,50
438,17,33,50
439,18,32,50
440,20,30,50
441,16,34,50
442,14,36,50
443,16,34,50
444,15,35,50
445,16,34,50
446,16,34,50
447,12,38,50
448,20,30,50
449,22,28,50
450,20,30,50
451,19,31,50
452,12,38,50
453,13,37,50
454,20,30,50
455,16,34,50
456,19,31,50
457,24,26,50
458,18,32,50
459,17,33,50
460,16,34,50
461,14,36,50
462,22,28,50
463,17,33,50
464,21,29,50
465,16,34,50
466,20,30,50
467,19,31,50
468,16,34,50
469,19,31,50
470,16,34,50
471,13,37,50
472,20,30,50
473,20,30,50
474,19,31,50
475,21,29,50
476,21,29,50
477,21,29,50
478,22,28,50
479,20,30,50
480,17,33,50
481,19,31,50
482,19,31,50
483,19,31,50
484,20,30,50
485,18,32,50
486,16,34,50
487,19,31,50
488,17,33,50
489,12,38,50
490,18,32,50
491,16,34,50
492,24,26,50
493,15,35,50
494,19,31,50
495,15,35,50
496,21,29,50
497,18,32,50
498,19,31,50
499,16,34,50
500,15,35,50
501,21,29,50
502,19,31,50
503,17,33,50
504,16,34,50
505,12,38,50
506,15,35,50
507,13,37,50
508,12,38,50
509,13,37,50
510,16,34,50
511,19,31,50
512,22,28,50
513,22,28,50
514,17,33,50
515,22,28,50
516,16,34,50
517,18,32,50
518,17,33,50
519,15,35,50
520,11,39,50
521,17,33,50
522,19,31,50
523,21,29,50
524,15,35,50
525,14,36,50
526,14,36,50
527,19,31,50
528,20,30,50
529,16,34,50
530,20,30,50
531,20,30,50
532,17,33,50
533,17,33,50
534,16,34,50
535,19,31,50
536,16,34,50
537,22,28,50
538,18,32,50
539,19,31,50
540,21,29,50
541,21,29,50
542,21,29,50
543,23,27,50
544,20,30,50
545,18,32,50
546,19,31,50
547,16,34,50
548,19,31,50
549,22,28,50
550,24,26,50
551,20,30,50
552,18,32,50
553,18,32,50
554,20,30,50
555,19,31,50
556,24,26,50
557,20,30,50
558,21,29,50
559,21,29,50
560,22,28,50
561,18,32,50
562,20,30,50
563,21,29,50
564,23,27,50
565,17,33,50
566,22,28,50
567,15,35,50
568,20,30,50
569,16,34,50
570,20,30,50
571,21,29,50
572,19,31,50
573,18,32,50
574,21,29,50
575,17,33,50
576,18,32,50
577,22,28,50
578,21,29,50
579,16,34,50
580,23,27,50
581,21,29,50
582,18,32,50
583,22,28,50
584,18,32,50
585,16,34,50
586,16,34,50
587,21,29,50
588,17,33,50
589,18,32,50
590,20,30,50
591,17,33,50
592,27,23,50
593,25,25,50
594,20,30,50
595,19,31,50
596,18,32,50
597,18,32,50
598,21,29,50
599,19,31,50
600,24,26,50
601,13,37,50
602,17,33,50
603,18,32,50
604,20,30,50
605,20,30,50
606,20,30,50
607,21,29,50
608,25,25,50
609,25,25,50
610,23,27,50
611,21,29,50
612,21,29,50
613,20,30,50
614,20,30,50
615,21,29,50
616,20,30,50
617,19,31,50
618,16,34,50
619,22,28,50
620,26,24,50
621,19,31,50
622,23,27,50
623,23,27,50
624,21,29,50
625,20,30,50
626,23,27,50
627,15,35,50
628,19,31,50
629,24,26,50
630,24,26,50
631,23,27,50
632,23,27,50
633,24,26,50
634,22,28,50
635,23,27,50
636,20,30,50
637,23,27,50
638,22,28,50
639,20,30,50
640,21,29,50
641,18,32,50
642,21,29,50
643,20,30,50
644,19,31,50
645,25,25,50
646,18,32,50
647,20,30,50
648,24,26,50
649,22,28,50
650,24,26,50
651,22,28,50
652,22,28,50
653,18,32,50
654,23,27,50
655,21,29,50
656,21,29,50
657,21,29,50
658,21,29,50
659,17,33,50
660,18,32,50
661,19,31,50
662,18,32,50
663,21,29,50
664,24,26,50
665,23,27,50
666,16,34,50
667,18,32,50
668,21,29,50
669,21,29,50
670,18,32,50
671,18,32,50
672,20,30,50
673,21,29,50
674,22,28,50
675,20,30,50
676,21,29,50
677,18,32,50
678,21,29,50
679,18,32,50
680,25,25,50
681,21,29,50
682,20,30,50
683,22,28,50
684,24,26,50
685,27,23,50
686,19,31,50
687,18,32,50
688,27,23,50
689,20,30,50
690,26,24,50
691,23,27,50
692,24,26,50
693,16,34,50
694,17,33,50
